Programme_Title,Original_DateTime,Show_DateTime,Venue,Category,Latitude,Longitude
Oldies Concert,"1 Jan 2019 (Tue) 3:00pm, 7:00pm",2019-01-01 15:00pm,Tai Po Civic Centre (Auditorium),Cultural Presentations & Film - Pop Concerts,22.4532,114.171
Oldies Concert,"1 Jan 2019 (Tue) 3:00pm, 7:00pm",2019-01-01 19:00pm,Tai Po Civic Centre (Auditorium),Cultural Presentations & Film - Pop Concerts,22.4532,114.171
AXA presents My Love Andy Lau World Tour ‧ Hong Kong 2018 (Shows on 28th Dec 2018 to 3rd Jan 2019 are Cancelled),"15 - 30 Dec 2018 (Sat -Sun) 8:15pm, 31 Dec 2018 (Mon) 9:30pm, 1 - 3 Jan 2019 (Tue - Thu) 8:15pm",2019-01-01 20:15pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
AXA presents My Love Andy Lau World Tour ‧ Hong Kong 2018 (Shows on 28th Dec 2018 to 3rd Jan 2019 are Cancelled),"15 - 30 Dec 2018 (Sat -Sun) 8:15pm, 31 Dec 2018 (Mon) 9:30pm, 1 - 3 Jan 2019 (Tue - Thu) 8:15pm",2019-01-01 20:15pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
AXA presents My Love Andy Lau World Tour ‧ Hong Kong 2018 (Shows on 28th Dec 2018 to 3rd Jan 2019 are Cancelled),"15 - 30 Dec 2018 (Sat -Sun) 8:15pm, 31 Dec 2018 (Mon) 9:30pm, 1 - 3 Jan 2019 (Tue - Thu) 8:15pm",2019-01-01 21:30pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
AXA presents My Love Andy Lau World Tour ‧ Hong Kong 2018 (Shows on 28th Dec 2018 to 3rd Jan 2019 are Cancelled),"15 - 30 Dec 2018 (Sat -Sun) 8:15pm, 31 Dec 2018 (Mon) 9:30pm, 1 - 3 Jan 2019 (Tue - Thu) 8:15pm",2019-01-02 20:15pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
AXA presents My Love Andy Lau World Tour ‧ Hong Kong 2018 (Shows on 28th Dec 2018 to 3rd Jan 2019 are Cancelled),"15 - 30 Dec 2018 (Sat -Sun) 8:15pm, 31 Dec 2018 (Mon) 9:30pm, 1 - 3 Jan 2019 (Tue - Thu) 8:15pm",2019-01-02 20:15pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
AXA presents My Love Andy Lau World Tour ‧ Hong Kong 2018 (Shows on 28th Dec 2018 to 3rd Jan 2019 are Cancelled),"15 - 30 Dec 2018 (Sat -Sun) 8:15pm, 31 Dec 2018 (Mon) 9:30pm, 1 - 3 Jan 2019 (Tue - Thu) 8:15pm",2019-01-02 21:30pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
Pop Concert,2 Jan 2019 (Wed) 7:15pm,2019-01-02 7:15pm,Ngau Chi Wan Civic Centre (Theatre),Cultural Presentations & Film - Pop Concerts,22.314,114.229
AXA presents My Love Andy Lau World Tour ‧ Hong Kong 2018 (Shows on 28th Dec 2018 to 3rd Jan 2019 are Cancelled),"15 - 30 Dec 2018 (Sat -Sun) 8:15pm, 31 Dec 2018 (Mon) 9:30pm, 1 - 3 Jan 2019 (Tue - Thu) 8:15pm",2019-01-03 20:15pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
