date,station,start_time,end_time,action,notes
2019-07-01,金鐘,2019-07-01 06:00,2019-07-01 11:59,skipped,上午荃灣綫及港島綫列車不停金鐘站；實際開始/結束時間未明—以上午時段近似
2019-07-01,灣仔,2019-07-01 06:00,2019-07-01 11:59,skipped,上午港島綫列車不停灣仔站；時間近似
2019-07-01,天后,2019-07-01 12:00,2019-07-01 17:59,skipped,下午預告部分列車不停天后站；預告，實施未明
2019-07-01,銅鑼灣,2019-07-01 12:00,2019-07-01 17:59,skipped,下午預告部分列車不停銅鑼灣站；預告，實施未明
2019-07-01,灣仔,2019-07-01 12:00,2019-07-01 17:59,skipped,下午預告部分列車不停灣仔站；預告，實施未明
2019-07-01,金鐘,2019-07-01 12:00,2019-07-01 17:59,skipped,下午預告部分列車不停金鐘站；預告，實施未明
2019-07-14,沙田,2019-07-14 00:00,2019-07-14 23:59,skipped,東鐵綫列車一度不停沙田站；原文未載時段—暫以未知全日占位
2019-07-21,天后,2019-07-21 12:00,2019-07-21 17:59,skipped,下午預告部分列車不停天后站；預告，實施未明
2019-07-21,銅鑼灣,2019-07-21 12:00,2019-07-21 17:59,skipped,下午預告部分列車不停銅鑼灣站；預告，實施未明
2019-07-21,元朗,2019-07-21 23:00,2019-07-21 23:20,skipped,西鐵綫來回方向不停元朗站；23:20恢復上落客
2019-07-21,元朗,2019-07-21 23:45,2019-07-21 23:54,skipped,西鐵綫再次不停元朗站；其後關站
2019-07-21,元朗,2019-07-21 23:55,2019-07-22 00:59,closed,因應警方要求關閉元朗站；原文00:29有列車短暫開門屬異常個案
2019-07-27,朗屏,2019-07-27 19:24,2019-07-28 00:00,skipped,因警方要求其他列車不停朗屏站；另有特別列車僅作疏散上客
2019-07-28,西營盤,2019-07-28 20:18,2019-07-28 23:59,service_suspended,港島綫縮短至柴灣–上環；西營盤站服務暫停
2019-07-28,香港大學,2019-07-28 20:18,2019-07-28 23:59,service_suspended,同上
2019-07-28,堅尼地城,2019-07-28 20:18,2019-07-28 23:59,service_suspended,同上
2019-08-03,旺角,2019-08-03 18:00,2019-08-03 23:59,skipped,晚上荃灣綫及觀塘綫列車不停旺角站；因應警方要求；時間近似
2019-08-03,油麻地,2019-08-03 18:00,2019-08-03 23:59,skipped,晚上荃灣綫及觀塘綫列車不停油麻地站；因應警方要求；時間近似
