date,start_time,end_time,warning_type,warning_title,warning_content,source_file
20190101,2019-01-01 08:31:00,2019-01-01 23:59:59,Cold Weather,Information about Cold Weather Warning (06:00 HKT on 01.01.2019),"The Cold Weather Warning is now in force.Cold weather is expected in Hong Kong in the next couple of days.People are advised to put on warm clothes and ensure adequate indoor ventilation.People are also advised to avoid prolonged exposure to wintry winds to avoid getting cold and having adverse health effects.If you know of elderly persons or persons with chronic medical conditions staying alone, please call or visit them occasionally to check if they need any assistance.Make sure heaters are safe before use, and place them away from any combustibles. Do not light fires indoors as a means to keep warm.Please ensure that there is plenty of fresh air in your room when you are using an old-type gas water heater.Dispatched by Hong Kong Observatory at 06:00 HKT on 01.01.2019",20190101-0831-WeatherWarningBulletin.xml
20190102,2019-01-02 08:36:00,2019-01-02 23:59:59,Cold Weather,Information about Cold Weather Warning (06:00 HKT on 02.01.2019),"The Cold Weather Warning is now in force.Cold weather is expected in Hong Kong today.People are advised to put on warm clothes and ensure adequate indoor ventilation.People are also advised to avoid prolonged exposure to wintry winds to avoid getting cold and having adverse health effects.If you know of elderly persons or persons with chronic medical conditions staying alone, please call or visit them occasionally to check if they need any assistance.Make sure heaters are safe before use, and place them away from any combustibles. Do not light fires indoors as a means to keep warm.Please ensure that there is plenty of fresh air in your room when you are using an old-type gas water heater.Dispatched by Hong Kong Observatory at 06:00 HKT on 02.01.2019",20190102-0836-WeatherWarningBulletin.xml
20190210,2019-02-10 08:40:00,2019-02-10 23:59:59,Strong Monsoon,Information about Strong Monsoon Signal (07:45 HKT on 10.02.2019),"The Strong Monsoon Signal is now in force. Strong winds with mean speed exceeding 40 kilometres per hour are expected from the east. Gusts will occasionally reach gale force.1. If you are not well sheltered from the east, you are advised to take precautions against strong gusty winds. Flower pots and other objects likely to be blown away should be taken indoors.2. Those planning for water sports activities and operations at sea should take special care against high winds and rough sea conditions. Conditions are particularly rough over the offshore waters.Dispatched by Hong Kong Observatory at 07:45 HKT on 10.02.2019",20190210-0840-WeatherWarningBulletin.xml
20190218,2019-02-18 08:46:00,2019-02-18 23:59:59,Strong Monsoon,Information about Strong Monsoon Signal (07:45 HKT on 18.02.2019),"The Strong Monsoon Signal is now in force. Strong winds with mean speed exceeding 40 kilometres per hour are expected from the east. Gusts will occasionally reach gale force.In the past hour ending 7:30 a.m., the maximum sustained winds recorded at Cheung Chau Beach were 53 kilometres per hour.1. If you are not well sheltered from the east, you are advised to take precautions against strong gusty winds. Flower pots and other objects likely to be blown away should be taken indoors.2. Those planning for water sports activities and operations at sea should take special care against high winds and rough sea conditions. Conditions are particularly rough over the offshore waters.Dispatched by Hong Kong Observatory at 07:45 HKT on 18.02.2019",20190218-0846-WeatherWarningBulletin.xml
20190219,2019-02-19 08:35:00,2019-02-19 23:59:59,Thunderstorm,Information about Thunderstorm Warning (08:10 HKT on 19.02.2019),"Thunderstorm Warning issued at 6:15 a.m. on 19 Feb 2019 has been extended until 10:30 a.m. today. Thunderstorms are expected to occur over Hong Kong.Members of the public are advised to take the following precautions when thunderstorms occur:1. Stay indoors. Seek shelter in buildings if you are engaging in outdoor activities.2. Do not stand on high grounds. Keep away from highly conductive objects, trees or masts.Dispatched by Hong Kong Observatory at 08:10 HKT on 19.02.2019",20190219-0835-WeatherWarningBulletin.xml
20190223,2019-02-23 08:35:00,2019-02-23 23:59:59,Strong Monsoon,Information about Strong Monsoon Signal (07:45 HKT on 23.02.2019),"The Strong Monsoon Signal is now in force. Strong winds with mean speed exceeding 40 kilometres per hour are expected from the east. Gusts will occasionally reach gale force.1. If you are not well sheltered from the east, you are advised to take precautions against strong gusty winds. Flower pots and other objects likely to be blown away should be taken indoors.2. Those planning for water sports activities and operations at sea should take special care against high winds and rough sea conditions. Conditions are particularly rough over the offshore waters.Dispatched by Hong Kong Observatory at 07:45 HKT on 23.02.2019",20190223-0835-WeatherWarningBulletin.xml
20190303,2019-03-03 08:35:00,2019-03-03 23:59:59,Thunderstorm,Information about Thunderstorm Warning (07:10 HKT on 03.03.2019),"Thunderstorm Warning was issued at 7:10 a.m. on 3 Mar 2019. It will be valid until 9:30 a.m. today. A few squally thunderstorms are expected to occur over Hong Kong.Gusts exceeding 80 kilometres per hour were recorded at Lau Fau Shan at around 7:10 a.m.Gusts reaching 90 kilometres per hour or above may continue to affect Hong Kong.Members of the public are advised to take the following precautions when thunderstorms occur:1. Stay indoors. Seek shelter in buildings if you are engaging in outdoor activities.2. Do not stand on high grounds. Keep away from highly conductive objects, trees or masts.3. Take precautions against violent gusts. Beware of flying debris and falling objects.4. Drivers using highways and flyovers should reduce speed to be alert to violent gusts.Dispatched by Hong Kong Observatory at 07:10 HKT on 03.03.2019",20190303-0835-WeatherWarningBulletin.xml
20190308,2019-03-08 08:40:00,2019-03-08 23:59:59,Strong Monsoon,Information about Strong Monsoon Signal (07:45 HKT on 08.03.2019),"The Strong Monsoon Signal is now in force. Strong winds with mean speed exceeding 40 kilometres per hour are expected from the east. Gusts will occasionally reach gale force.1. If you are not well sheltered from the east, you are advised to take precautions against strong gusty winds. Flower pots and other objects likely to be blown away should be taken indoors.2. Small craft owners should make arrangements for the safety of their boats. Make sure that all deck fittings are firmly fastened.3. Since sea state may be very rough, you are advised to stay away from the shoreline and not to engage in water sports. Conditions are particularly rough over the offshore waters.Dispatched by Hong Kong Observatory at 07:45 HKT on 08.03.2019",20190308-0840-WeatherWarningBulletin.xml
20190331,2019-03-31 08:50:00,2019-03-31 23:59:59,Strong Monsoon,Information about Strong Monsoon Signal (07:45 HKT on 31.03.2019),"The Strong Monsoon Signal is now in force. Strong winds with mean speed exceeding 40 kilometres per hour are expected from the east. Gusts will occasionally reach gale force.1. If you are not well sheltered from the east, you are advised to take precautions against strong gusty winds. Flower pots and other objects likely to be blown away should be taken indoors.2. Those planning for water sports activities and operations at sea should take special care against high winds and rough sea conditions. Conditions are particularly rough over the offshore waters.Dispatched by Hong Kong Observatory at 07:45 HKT on 31.03.2019",20190331-0850-WeatherWarningBulletin.xml
20190401,2019-04-01 08:46:00,2019-04-01 23:59:59,Strong Monsoon,Information about Strong Monsoon Signal (07:45 HKT on 01.04.2019),"The Strong Monsoon Signal is now in force. Strong winds with mean speed exceeding 40 kilometres per hour are expected from the east. Gusts will occasionally reach gale force.1. If you are not well sheltered from the east, you are advised to take precautions against strong gusty winds. Flower pots and other objects likely to be blown away should be taken indoors.2. Those planning for water sports activities and operations at sea should take special care against high winds and rough sea conditions. Conditions are particularly rough over the offshore waters.Dispatched by Hong Kong Observatory at 07:45 HKT on 01.04.2019",20190401-0846-WeatherWarningBulletin.xml
