Line Code,Direction,Station Code,Station ID,Chinese Name,English Name,Sequence,Lat,Lng
ISL,DT,CEN,1,中環,Central,13,22.28,114.16
TWL,DT,CEN,1,中環,Central,16,22.28,114.16
EAL,DT,ADM,2,金鐘,Admiralty,14,22.28,114.16
ISL,DT,ADM,2,金鐘,Admiralty,12,22.28,114.16
TWL,DT,ADM,2,金鐘,Admiralty,15,22.28,114.16
SIL,UT,ADM,2,金鐘,Admiralty,1,22.28,114.16
TWL,DT,TST,3,尖沙咀,Tsim Sha Tsui,14,22.3,114.17
TWL,DT,JOR,4,佐敦,Jordan,13,22.31,114.17
KTL,DT,YMT,5,油麻地,Yau Ma Tei,15,22.31,114.17
TWL,DT,YMT,5,油麻地,Yau Ma Tei,12,22.31,114.17
KTL,DT,MOK,6,旺角,Mong Kok,14,22.32,114.17
TWL,DT,MOK,6,旺角,Mong Kok,11,22.32,114.17
KTL,DT,SKM,7,石硤尾,Shek Kip Mei,12,22.33,114.17
EAL,DT,KOT,8,九龍塘,Kowloon Tong,10,22.34,114.18
KTL,DT,KOT,8,九龍塘,Kowloon Tong,11,22.34,114.18
KTL,DT,LOF,9,樂富,Lok Fu,10,22.34,114.19
KTL,DT,WTS,10,黃大仙,Wong Tai Sin,9,22.34,114.19
KTL,DT,DIH,11,鑽石山,Diamond Hill,8,22.34,114.2
TML,UT,DIH,11,鑽石山,Diamond Hill,11,22.34,114.2
KTL,DT,CHH,12,彩虹,Choi Hung,7,22.33,114.21
KTL,DT,KOB,13,九龍灣,Kowloon Bay,6,22.32,114.21
KTL,DT,NTK,14,牛頭角,Ngau Tau Kok,5,22.32,114.22
KTL,DT,KWT,15,觀塘,Kwun Tong,4,22.31,114.23
KTL,DT,PRE,16,太子,Prince Edward,13,22.33,114.17
TWL,DT,PRE,16,太子,Prince Edward,10,22.33,114.17
TWL,DT,SSP,17,深水埗,Sham Shui Po,9,22.33,114.16
TWL,DT,CSW,18,長沙灣,Cheung Sha Wan,8,22.34,114.16
TWL,DT,LCK,19,茘枝角,Lai Chi Kok,7,22.34,114.15
TML,UT,MEF,20,美孚,Mei Foo,20,22.34,114.14
TWL,DT,MEF,20,美孚,Mei Foo,6,22.34,114.14
TCL,DT,LAK,21,茘景,Lai King,4,22.35,114.13
TWL,DT,LAK,21,茘景,Lai King,5,22.35,114.13
TWL,DT,KWF,22,葵芳,Kwai Fong,4,22.36,114.13
TWL,DT,KWH,23,葵興,Kwai Hing,3,22.36,114.13
TWL,DT,TWH,24,大窩口,Tai Wo Hau,2,22.37,114.12
TWL,DT,TSW,25,荃灣,Tsuen Wan,1,22.37,114.12
ISL,DT,SHW,26,上環,Sheung Wan,14,22.29,114.15
ISL,DT,WAC,27,灣仔,Wan Chai,11,22.28,114.17
ISL,DT,CAB,28,銅鑼灣,Causeway Bay,10,22.28,114.19
ISL,DT,TIH,29,天后,Tin Hau,9,22.28,114.19
ISL,DT,FOH,30,炮台山,Fortress Hill,8,22.29,114.19
ISL,DT,NOP,31,北角,North Point,7,22.29,114.2
TKL,DT,NOP,31,北角,North Point,7,22.29,114.2
ISL,DT,QUB,32,鰂魚涌,Quarry Bay,6,22.29,114.21
TKL,DT,QUB,32,鰂魚涌,Quarry Bay,6,22.29,114.21
ISL,DT,TAK,33,太古,Tai Koo,5,22.28,114.22
ISL,DT,SWH,34,西灣河,Sai Wan Ho,4,22.28,114.22
ISL,DT,SKW,35,筲箕灣,Shau Kei Wan,3,22.28,114.23
ISL,DT,HFC,36,杏花邨,Heng Fa Chuen,2,22.28,114.24
ISL,DT,CHW,37,柴灣,Chai Wan,1,22.26,114.24
KTL,DT,LAT,38,藍田,Lam Tin,3,22.31,114.23
TCL,DT,HOK,39,香港,Hong Kong,8,22.29,114.16
TCL,DT,KOW,40,九龍,Kowloon,7,22.3,114.16
TCL,DT,OLY,41,奧運,Olympic,6,22.32,114.16
TCL,DT,TSY,42,青衣,Tsing Yi,3,22.36,114.11
TCL,DT,TUC,43,東涌,Tung Chung,1,22.29,113.94
AEL,DT,HOK,44,香港,Hong Kong,5,22.29,114.16
AEL,DT,KOW,45,九龍,Kowloon,4,22.3,114.16
AEL,DT,TSY,46,青衣,Tsing Yi,3,22.36,114.11
AEL,DT,AIR,47,機場,Airport,2,22.32,113.94
KTL,DT,YAT,48,油塘,Yau Tong,2,22.3,114.24
TKL,DT,YAT,48,油塘,Yau Tong,5,22.3,114.24
KTL,DT,TIK,49,調景嶺,Tiu Keng Leng,1,22.3,114.25
TKL,DT,TIK,49,調景嶺,Tiu Keng Leng,4,22.3,114.25
TKL,DT,TKO,50,將軍澳,Tseung Kwan O,3,22.31,114.26
TKL,DT,HAH,51,坑口,Hang Hau,2,22.32,114.26
