Station Code,Chinese Name,English Name,Lines,Lat,Lng,Representative Sequence
AWE,博覽館,AsiaWorld-Expo,AEL,22.321012728523545,113.94180670973323,1.0
HOK,香港,Hong Kong,"AEL,TCL",22.29,114.16,1.0
SUN,欣澳,Sunny Bay,"DRL,TCL",22.33,114.03,1.0
DIS,迪士尼,Disneyland Resort,DRL,22.32,114.05,1.0
LOW,羅湖,Lo Wu,EAL,22.53,114.11,1.0
TAW,大圍,Tai Wai,"EAL,MOL",22.37,114.18,1.0
HUH,紅磡,Hung Hom,"EAL,WRL",22.3,114.18,1.0
LMC,落馬洲,Lok Ma Chau,EAL,22.51,114.07,1.0
CHW,柴灣,Chai Wan,ISL,22.26,114.24,1.0
NOP,北角,North Point,"ISL,TKL",22.291508928536842,114.20047323856755,1.0
CEN,中環,Central,"ISL,TWL",22.282201172111826,114.15830604041152,1.0
KET,堅尼地城,Kennedy Town,ISL,22.28,114.13,1.0
TIK,調景嶺,Tiu Keng Leng,"KTL,TKL",22.3,114.25,1.0
WHA,黃埔,Whampo,KTL,22.305307909254548,114.18954999623749,1.0
WKS,烏溪沙,Wu Kai Sha,MOL,22.43,114.24,1.0
TUC,東涌,Tung Chung,TCL,22.29,113.94,1.0
POA,寶琳,Po Lam,TKL,22.32273,114.2578,1.0
LHP,康城,LOHAS Park,TKL,22.3,114.27,1.0
TSW,荃灣,Tsuen Wan,TWL,22.37398,114.11766,1.0
TUM,屯門,Tuen Mun,WRL,22.395063453195256,113.9731319962392,1.0
AIR,機場,Airport,AEL,22.31617516349916,113.93660451157724,2.0
KOW,九龍,Kowloon,"AEL,TCL",22.3,114.16,2.0
SHS,上水,Sheung Shui,EAL,22.5,114.13,2.0
MKK,旺角東,Mong Kok East,EAL,22.32148427773826,114.17220049439362,2.0
HFC,杏花邨,Heng Fa Chuen,ISL,22.28,114.24,2.0
QUB,鰂魚涌,Quarry Bay,"ISL,TKL",22.288106479770406,114.2096087213838,2.0
ADM,金鐘,Admiralty,"ISL,SIL,TWL",22.27958,114.16462,2.0
HKU,香港大學,HKU,ISL,22.28,114.14,2.0
YAT,油塘,Yau Tong,"KTL,TKL",22.3,114.24,2.0
HOM,何文田,Ho Man Tin,KTL,22.31,114.18,2.0
MOS,馬鞍山,Ma On Shan,MOL,22.425041194985532,114.23192333857025,2.0
CKT,車公廟,Che Kung Temple,MOL,22.37,114.19,2.0
HAH,坑口,Hang Hau,TKL,22.31579,114.26426,2.0
TKO,將軍澳,Tseung Kwan O,TKL,22.31,114.26,2.0
TWH,大窩口,Tai Wo Hau,TWL,22.37,114.12457,2.0
SIH,兆康,Siu Hong,WRL,22.41,113.98,2.0
ETS,尖東,East Tsim Sha Tsui,WRL,22.29,114.17,2.0
OCP,海洋公園,Ocean Park,SIL,22.248984551306478,114.17441070973162,2.0
LET,利東,Lei Tung,SIL,22.24,114.16,2.0
TSY,青衣,Tsing Yi,"AEL,TCL",22.36,114.11,3.0
FAN,粉嶺,Fanling,EAL,22.49,114.14,3.0
KOT,九龍塘,Kowloon Tong,"EAL,KTL",22.34,114.18,3.0
SKW,筲箕灣,Shau Kei Wan,ISL,22.28,114.23,3.0
SYP,西營盤,Sai Ying Pun,ISL,22.29,114.14,3.0
LAT,藍田,Lam Tin,KTL,22.307138592917713,114.23278799497955,3.0
YMT,油麻地,Yau Ma Tei,"KTL,TWL",22.313028489769632,114.1706156232284,3.0
HEO,恆安,Heng On,MOL,22.417558012995983,114.22572145390953,3.0
STW,沙田圍,Sha Tin Wai,MOL,22.377103566941315,114.19469601685653,3.0
OLY,奧運,Olympic,TCL,22.32,114.16,3.0
KWH,葵興,Kwai Hing,TWL,22.36325,114.1313,3.0
TST,尖沙咀,Tsim Sha Tsui,TWL,22.297899456969958,114.17219416740255,3.0
TIS,天水圍,Tin Shui Wai,WRL,22.45,114.0,3.0
AUS,柯士甸,Austin,WRL,22.3055309046166,114.16616706924674,3.0
WCH,黃竹坑,Wong Chuk Hang,SIL,22.247965050465858,114.16676084751518,3.0
TWO,太和,Tai Wo,EAL,22.45,114.16,4.0
SWH,西灣河,Sai Wan Ho,ISL,22.28227867809492,114.22187853856734,4.0
SHW,上環,Sheung Wan,ISL,22.29,114.15,4.0
KWT,觀塘,Kwun Tong,KTL,22.312399667335338,114.2264757250725,4.0
MOK,旺角,Mong Kok,"KTL,TWL",22.319550731000817,114.16935499623777,4.0
TSH,大水坑,Tai Shui Hang,MOL,22.41,114.22,4.0
CIO,第一城,City One,MOL,22.38,114.2,4.0
LAK,茘景,Lai King,"TCL,TWL",22.35,114.13,4.0
NAC,南昌,Nam Cheong,"TCL,WRL",22.33,114.15,4.0
KWF,葵芳,Kwai Fong,TWL,22.35803,114.1298,4.0
JOR,佐敦,Jordan,TWL,22.305067909732283,114.1715956232283,4.0
LOP,朗屏,Long Ping,WRL,22.448,114.02525,4.0
TAP,大埔墟,Tai Po Market,EAL,22.44,114.17,5.0
SHT,沙田,Sha Tin,EAL,22.38228349989016,114.18692169623917,5.0
TAK,太古,Tai Koo,ISL,22.284927949807077,114.21627416555809,5.0
NTK,牛頭角,Ngau Tau Kok,KTL,22.32,114.22,5.0
PRE,太子,Prince Edward,"KTL,TWL",22.32532,114.16832,5.0
SHM,石門,Shek Mun,MOL,22.39,114.21,5.0
MEF,美孚,Mei Foo,"TWL,WRL",22.34,114.14,5.0
YUL,元朗,Yuen Long,WRL,22.44633,114.03519,5.0
SOH,海怡半島,South Horizons,SIL,22.24,114.15,5.0
UNI,大學,University,EAL,22.41,114.21,6.0
FOT,火炭,Fo Tan,EAL,22.4,114.2,6.0
KOB,九龍灣,Kowloon Bay,KTL,22.32,114.21,6.0
SKM,石硤尾,Shek Kip Mei,KTL,22.33239,114.1688,6.0
KSR,錦上路,Kam Sheung Road,WRL,22.43,114.06,6.0
TWW,荃灣西,Tsuen Wan West,WRL,22.37,114.11,6.0
WAC,灣仔,Wan Chai,ISL,22.2777868996141,114.1730668456758,7.0
CHH,彩虹,Choi Hung,KTL,22.335178573695583,114.208924723229,7.0
LCK,茘枝角,Lai Chi Kok,TWL,22.34,114.15,7.0
FOH,炮台山,Fortress Hill,ISL,22.29,114.19,8.0
CAB,銅鑼灣,Causeway Bay,ISL,22.280642730512046,114.18506355390677,8.0
DIH,鑽石山,Diamond Hill,KTL,22.34,114.2,8.0
LOF,樂富,Lok Fu,KTL,22.338174835373263,114.18705418274284,8.0
CSW,長沙灣,Cheung Sha Wan,TWL,22.34,114.16,8.0
SSP,深水埗,Sham Shui Po,TWL,22.33,114.16,8.0
TIH,天后,Tin Hau,ISL,22.282600177683648,114.19176871157651,9.0
WTS,黃大仙,Wong Tai Sin,KTL,22.341937836279207,114.19380708089876,9.0
