名称,大类,经度,纬度,省份,地级市,区县,lon_round,lat_round,cell
二澳码头,交通设施,113.85734,22.232523,香港特别行政区,香港特别行政区,离岛区,113.857,22.233,113.857_22.233
大澳公众码头,交通设施,113.858042,22.249569,香港特别行政区,香港特别行政区,离岛区,113.858,22.25,113.858_22.25
大澳,交通设施,113.865737,22.249463,香港特别行政区,香港特别行政区,离岛区,113.866,22.249,113.866_22.249
的士站,交通设施,113.867169,22.249796,香港特别行政区,香港特别行政区,离岛区,113.867,22.25,113.867_22.25
路旁停车场,交通设施,113.867199,22.249655,香港特别行政区,香港特别行政区,离岛区,113.867,22.25,113.867_22.25
专用停车场,交通设施,113.870692,22.250639,香港特别行政区,香港特别行政区,离岛区,113.871,22.251,113.871_22.251
佛教筏可纪念中学,交通设施,113.871706,22.249134,香港特别行政区,香港特别行政区,离岛区,113.872,22.249,113.872_22.249
坑尾,交通设施,113.874171,22.247708,香港特别行政区,香港特别行政区,离岛区,113.874,22.248,113.874_22.248
龙田村,交通设施,113.869913,22.249448,香港特别行政区,香港特别行政区,离岛区,113.87,22.249,113.87_22.249
新凤村,交通设施,113.882006,22.240651000000003,香港特别行政区,香港特别行政区,离岛区,113.882,22.241,113.882_22.241
大屿山郊野公园羌山管理站,交通设施,113.884234,22.238627,香港特别行政区,香港特别行政区,离岛区,113.884,22.239,113.884_22.239
羌山管理站,交通设施,113.884064,22.238852,香港特别行政区,香港特别行政区,离岛区,113.884,22.239,113.884_22.239
龙仔,交通设施,113.886164,22.238107,香港特别行政区,香港特别行政区,离岛区,113.886,22.238,113.886_22.238
观音寺,交通设施,113.888107,22.239517,香港特别行政区,香港特别行政区,离岛区,113.888,22.24,113.888_22.24
成辉果园,交通设施,113.889073,22.241239,香港特别行政区,香港特别行政区,离岛区,113.889,22.241,113.889_22.241
灵隐寺,交通设施,113.879763,22.241173,香港特别行政区,香港特别行政区,离岛区,113.88,22.241,113.88_22.241
三缘精舍,交通设施,113.891113,22.243628,香港特别行政区,香港特别行政区,离岛区,113.891,22.244,113.891_22.244
法华苑,交通设施,113.893519,22.2429,香港特别行政区,香港特别行政区,离岛区,113.894,22.243,113.894_22.243
沙咀,交通设施,113.896424,22.225221,香港特别行政区,香港特别行政区,离岛区,113.896,22.225,113.896_22.225
沙咀惩教处,交通设施,113.896013,22.225118,香港特别行政区,香港特别行政区,离岛区,113.896,22.225,113.896_22.225
沙咀惩教所,交通设施,113.896415,22.225186,香港特别行政区,香港特别行政区,离岛区,113.896,22.225,113.896_22.225
深屈道口,交通设施,113.89588,22.242093,香港特别行政区,香港特别行政区,离岛区,113.896,22.242,113.896_22.242
深屈道,交通设施,113.897198,22.242346,香港特别行政区,香港特别行政区,离岛区,113.897,22.242,113.897_22.242
石壁,交通设施,113.898481,22.221881000000003,香港特别行政区,香港特别行政区,离岛区,113.898,22.222,113.898_22.222
山海亭,交通设施,113.898063,22.246226,香港特别行政区,香港特别行政区,离岛区,113.898,22.246,113.898_22.246
石壁坳引水道通道,交通设施,113.89895,22.236645,香港特别行政区,香港特别行政区,离岛区,113.899,22.237,113.899_22.237
新10号码头,交通设施,113.901892,22.311261,香港特别行政区,香港特别行政区,离岛区,113.902,22.311,113.902_22.311
石壁警岗,交通设施,113.902673,22.223003,香港特别行政区,香港特别行政区,离岛区,113.903,22.223,113.903_22.223
飞机维修区,交通设施,113.904195,22.301271,香港特别行政区,香港特别行政区,离岛区,113.904,22.301,113.904_22.301
昂坪,交通设施,113.907374,22.252301000000003,香港特别行政区,香港特别行政区,离岛区,113.907,22.252,113.907_22.252
昂平,交通设施,113.90744,22.252351,香港特别行政区,香港特别行政区,离岛区,113.907,22.252,113.907_22.252
昂坪市集,交通设施,113.907887,22.252517,香港特别行政区,香港特别行政区,离岛区,113.908,22.253,113.908_22.253
大屿山沙螺湾码头,交通设施,113.909006,22.290019,香港特别行政区,香港特别行政区,离岛区,113.909,22.29,113.909_22.29
沙螺湾,交通设施,113.908817,22.290991,香港特别行政区,香港特别行政区,离岛区,113.909,22.291,113.909_22.291
出租车上下客站,交通设施,113.91056,22.25229,香港特别行政区,香港特别行政区,离岛区,113.911,22.252,113.911_22.252
昂坪大佛专用停车场,交通设施,113.911532,22.251443,香港特别行政区,香港特别行政区,离岛区,113.912,22.251,113.912_22.251
水口直升机场,交通设施,113.912818,22.220611,香港特别行政区,香港特别行政区,离岛区,113.913,22.221,113.913_22.221
四眼马,交通设施,113.915394,22.219002,香港特别行政区,香港特别行政区,离岛区,113.915,22.219,113.915_22.219
"政府飞行服务队,南环路",交通设施,113.916049,22.292491,香港特别行政区,香港特别行政区,离岛区,113.916,22.292,113.916_22.292
政府飞行服务队，南环路,交通设施,113.916039,22.292493,香港特别行政区,香港特别行政区,离岛区,113.916,22.292,113.916_22.292
水口村,交通设施,113.917834,22.217702,香港特别行政区,香港特别行政区,离岛区,113.918,22.218,113.918_22.218
DHL中亚区枢纽中心,交通设施,113.921861,22.292351,香港特别行政区,香港特别行政区,离岛区,113.922,22.292,113.922_22.292
DHL中亚区枢纽中心，南环路,交通设施,113.922412,22.292129,香港特别行政区,香港特别行政区,离岛区,113.922,22.292,113.922_22.292
香港国际机场,交通设施,113.923,22.303709,香港特别行政区,香港特别行政区,离岛区,113.923,22.304,113.923_22.304
下横垄,交通设施,113.9241,22.218955,香港特别行政区,香港特别行政区,离岛区,113.924,22.219,113.924_22.219
水口下横垄,交通设施,113.92407,22.218863,香港特别行政区,香港特别行政区,离岛区,113.924,22.219,113.924_22.219
曾咀,交通设施,113.924237,22.417122,香港特别行政区,香港特别行政区,屯门区,113.924,22.417,113.924_22.417
亚洲空运中心,交通设施,113.925499,22.293041,香港特别行政区,香港特别行政区,离岛区,113.925,22.293,113.925_22.293
沙埔岗127号,交通设施,113.925063,22.386313,香港特别行政区,香港特别行政区,屯门区,113.925,22.386,113.925_22.386
龙鼓滩,交通设施,113.924767,22.387812,香港特别行政区,香港特别行政区,屯门区,113.925,22.388,113.925_22.388
上横垄,交通设施,113.925567,22.220803,香港特别行政区,香港特别行政区,离岛区,113.926,22.221,113.926_22.221
水口上横垄,交通设施,113.926049,22.221333,香港特别行政区,香港特别行政区,离岛区,113.926,22.221,113.926_22.221
亚洲空运中心，骏坪路,交通设施,113.925547,22.292925,香港特别行政区,香港特别行政区,离岛区,113.926,22.293,113.926_22.293
中电A厂,交通设施,113.925865,22.378994,香港特别行政区,香港特别行政区,屯门区,113.926,22.379,113.926_22.379
中电a厂,交通设施,113.925724,22.379528,香港特别行政区,香港特别行政区,屯门区,113.926,22.38,113.926_22.38
沙埔岗351号,交通设施,113.926012,22.382404,香港特别行政区,香港特别行政区,屯门区,113.926,22.382,113.926_22.382
沙埔岗312号,交通设施,113.925947,22.383244,香港特别行政区,香港特别行政区,屯门区,113.926,22.383,113.926_22.383
沙埔岗288号,交通设施,113.925978,22.383601,香港特别行政区,香港特别行政区,屯门区,113.926,22.384,113.926_22.384
沙埔岗177号,交通设施,113.925617,22.384982,香港特别行政区,香港特别行政区,屯门区,113.926,22.385,113.926_22.385
"机场空运中心,骏运路",交通设施,113.928187,22.291904,香港特别行政区,香港特别行政区,离岛区,113.928,22.292,113.928_22.292
机场空运中心，骏运路,交通设施,113.928121,22.291906,香港特别行政区,香港特别行政区,离岛区,113.928,22.292,113.928_22.292
骏运北路,交通设施,113.928189,22.291935,香港特别行政区,香港特别行政区,离岛区,113.928,22.292,113.928_22.292
水口村东站,交通设施,113.920396,22.218755,香港特别行政区,香港特别行政区,离岛区,113.92,22.219,113.92_22.219
塘福惩教处,交通设施,113.930852,22.22592,香港特别行政区,香港特别行政区,离岛区,113.931,22.226,113.931_22.226
塘福惩教所,交通设施,113.930855,22.225827,香港特别行政区,香港特别行政区,离岛区,113.931,22.226,113.931_22.226
赤鱲角南路,交通设施,113.932364,22.289237,香港特别行政区,香港特别行政区,离岛区,113.932,22.289,113.932_22.289
博览馆货车轮候区,交通设施,113.931953,22.290389,香港特别行政区,香港特别行政区,离岛区,113.932,22.29,113.932_22.29
麻埔坪村,交通设施,113.932502,22.226895,香港特别行政区,香港特别行政区,离岛区,113.933,22.227,113.933_22.227
骏运南路,交通设施,113.933038,22.293412,香港特别行政区,香港特别行政区,离岛区,113.933,22.293,113.933_22.293
骏运南路，骏运路,交通设施,113.933062,22.293376,香港特别行政区,香港特别行政区,离岛区,113.933,22.293,113.933_22.293
南大屿山海底电缆站,交通设施,113.933744,22.222578,香港特别行政区,香港特别行政区,离岛区,113.934,22.223,113.934_22.223
香港空运货站,交通设施,113.934428,22.293945,香港特别行政区,香港特别行政区,离岛区,113.934,22.294,113.934_22.294
香港空运货站，骏运路,交通设施,113.934462,22.293957,香港特别行政区,香港特别行政区,离岛区,113.934,22.294,113.934_22.294
绍荣钢铁,交通设施,113.933703,22.366869,香港特别行政区,香港特别行政区,屯门区,113.934,22.367,113.934_22.367
麻埔坪道,交通设施,113.934911,22.223462,香港特别行政区,香港特别行政区,离岛区,113.935,22.223,113.935_22.223
麻埔坪道口,交通设施,113.934907,22.223499,香港特别行政区,香港特别行政区,离岛区,113.935,22.223,113.935_22.223
超级一号货站,交通设施,113.934827,22.294071,香港特别行政区,香港特别行政区,离岛区,113.935,22.294,113.935_22.294
超级一号货站，骏运路,交通设施,113.934662,22.294026,香港特别行政区,香港特别行政区,离岛区,113.935,22.294,113.935_22.294
石门甲,交通设施,113.935901,22.266067,香港特别行政区,香港特别行政区,离岛区,113.936,22.266,113.936_22.266
机场警署,交通设施,113.936371,22.298266,香港特别行政区,香港特别行政区,离岛区,113.936,22.298,113.936_22.298
机场警署，航膳西路,交通设施,113.936356,22.298346,香港特别行政区,香港特别行政区,离岛区,113.936,22.298,113.936_22.298
空邮中心,交通设施,113.935936,22.298997,香港特别行政区,香港特别行政区,离岛区,113.936,22.299,113.936_22.299
空邮中心，航膳西路,交通设施,113.935971,22.298919,香港特别行政区,香港特别行政区,离岛区,113.936,22.299,113.936_22.299
航膳西路,交通设施,113.936211,22.298725,香港特别行政区,香港特别行政区,离岛区,113.936,22.299,113.936_22.299
三号检查闸,交通设施,113.935938,22.300267,香港特别行政区,香港特别行政区,离岛区,113.936,22.3,113.936_22.3
稔湾堆填区1号码头,交通设施,113.936192,22.421557,香港特别行政区,香港特别行政区,元朗区,113.936,22.422,113.936_22.422
塘福,交通设施,113.937159,22.224683,香港特别行政区,香港特别行政区,离岛区,113.937,22.225,113.937_22.225
塘福村,交通设施,113.937185,22.224699,香港特别行政区,香港特别行政区,离岛区,113.937,22.225,113.937_22.225
石门甲村,交通设施,113.936773,22.266531,香港特别行政区,香港特别行政区,离岛区,113.937,22.267,113.937_22.267
松逸街,交通设施,113.93681,22.27316,香港特别行政区,香港特别行政区,离岛区,113.937,22.273,113.937_22.273
松满路专用停车场,交通设施,113.937279,22.274129,香港特别行政区,香港特别行政区,离岛区,113.937,22.274,113.937_22.274
