Month,Service_Outage_Coverage,Service_Outage_Sparsity,Service_Outage_Affected,Concert_Coverage,Concert_Sparsity,Concert_Affected,Weather_Coverage,Weather_Sparsity,Weather_Affected,Weather_Level_0,Weather_Level_1,Weather_Level_2,Weather_Level_3
January,0.0,1.0,0,0.9694138258267038,0.990305861741733,664,4.438280166435504,0.955617198335645,3040,65455,3040,0,0
February,0.0,1.0,0,1.1077771470278108,0.9889222285297219,683,9.861325115562403,0.901386748844376,6080,55575,0,4560,1520
March,0.0,1.0,0,0.6584422220600072,0.9934155777793999,451,4.438280166435504,0.955617198335645,3040,65455,0,1520,1520
April,0.0,1.0,0,1.05414181076795,0.9894585818923205,698,4.591104734576756,0.9540889526542324,3040,63175,0,3040,0
May,0.0,1.0,0,1.5709175852251955,0.984290824147748,1076,13.314840499306513,0.8668515950069349,9120,59375,1520,3040,4560
June,0.0,1.0,0,0.9499358151476289,0.9905006418485237,629,27.403156384505024,0.7259684361549498,18145,48070,11210,0,6935
July,0.13431637345792113,0.9986568362654208,92,1.0905905540550376,0.9890940944594496,747,33.564493758668526,0.6643550624133148,22990,45505,13110,0,9880
August,0.2584130228483805,0.9974158697715162,177,0.6394627345061688,0.9936053726549383,438,35.64493758668517,0.6435506241331483,24415,44080,15485,0,8930
September,0.37151702786377694,0.9962848297213622,246,1.632560598051802,0.983674394019482,1081,21.807747489239592,0.7819225251076041,14440,51775,7790,2660,3990
October,2.2176801226366893,0.9778231987736331,1519,1.1110300021899389,0.9888896999781006,761,7.350901525658804,0.926490984743412,5035,63460,1330,3705,0
November,1.541946688816731,0.9845805331118327,1021,0.9529562787887969,0.990470437212112,631,3.73027259684362,0.9626972740315638,2470,63745,0,2470,0
December,1.1066501204467505,0.9889334987955325,758,0.7168406453025744,0.9928315935469743,491,7.212205270457694,0.9278779472954231,4940,63555,2470,2470,0
